machine,N,load_factor,query_type,implementation,runs,avg_time_s,avg_ns_query
machine1,1048576,0.7,hit,chaining,5,0.3140422,62.80844
machine1,1048576,0.7,hit,linear,5,0.2810654,56.21308
machine1,1048576,0.7,hit,robin_hood,5,0.3496976,69.93952
machine1,1048576,0.95,hit,chaining,5,0.358874,71.77484
machine1,1048576,0.95,hit,linear,5,0.447833,89.56656
machine1,1048576,0.95,hit,robin_hood,5,0.7635762,152.7154
machine1,1048576,0.95,miss,chaining,5,0.3714764,74.29523999999999
machine1,1048576,0.95,miss,linear,5,2.317516,463.5034
machine1,1048576,0.95,miss,robin_hood,5,0.762763,152.5526
machine2,1048576,0.7,hit,chaining,5,0.1318986,26.379739999999998
machine2,1048576,0.7,hit,linear,5,0.07675976,15.35194
machine2,1048576,0.7,hit,robin_hood,5,0.1436136,28.72268
machine2,1048576,0.95,hit,chaining,5,0.1466698,29.33396
machine2,1048576,0.95,hit,linear,5,0.1358852,27.17708
machine2,1048576,0.95,hit,robin_hood,5,0.2469566,49.3913
machine2,1048576,0.95,miss,chaining,5,0.1592024,31.840419999999998
machine2,1048576,0.95,miss,linear,5,0.9791636,195.8328
machine2,1048576,0.95,miss,robin_hood,5,0.2378372,47.567440000000005
