N,load_factor,query_type,machine,algorithm,time_s
1048576,0.7,hit,machine1,chaining,0.314042
1048576,0.7,hit,machine1,linear,0.281065
1048576,0.7,hit,machine1,robin_hood,0.349698
1048576,0.7,hit,machine2,chaining,0.131899
1048576,0.7,hit,machine2,linear,0.07676
1048576,0.7,hit,machine2,robin_hood,0.143614
1048576,0.95,hit,machine1,chaining,0.358874
1048576,0.95,hit,machine1,linear,0.447833
1048576,0.95,hit,machine1,robin_hood,0.763576
1048576,0.95,hit,machine2,chaining,0.14667
1048576,0.95,hit,machine2,linear,0.135885
1048576,0.95,hit,machine2,robin_hood,0.246957
1048576,0.95,miss,machine1,chaining,0.371476
1048576,0.95,miss,machine1,linear,2.317516
1048576,0.95,miss,machine1,robin_hood,0.762763
1048576,0.95,miss,machine2,chaining,0.159202
1048576,0.95,miss,machine2,linear,0.979164
1048576,0.95,miss,machine2,robin_hood,0.237837
