machine,benchmark,test,runs,avg_cycles,avg_instructions,ipc,avg_cache_references,avg_cache_misses,cache_miss_pct,avg_branches,avg_branch_misses,branch_miss_pct
machine1,graph,csr,3,2556521565.6666665,1781805073.3333333,0.6969646167912104,125086182.33333333,56645408.333333336,45.28510445892656,296384377.3333333,5446642.666666667,1.8376956017965198
machine1,graph,csr_reordered,3,1674090914.6666667,2020768219.3333333,1.2070839173843162,116691500,47044763.666666664,40.31550170035235,338043001.3333333,7062319.666666667,2.089177897134673
machine1,hash,chaining / miss,3,1577588514.3333333,721444085.3333334,0.4573081502423371,40745607,18186195.666666668,44.63351267945687,121032448.66666667,4868226.666666667,4.022249173917124
machine1,hash,linear / miss,3,5192373896.333333,9550812709.666666,1.8393923281239637,367437619.6666667,44988835,12.243938179442031,2091133288.3333333,5995322.333333333,0.2867020656589375
machine1,hash,robin_hood / miss,3,2170645323.6666665,1240650325.6666667,0.5715582882840358,136511889,46003860.333333336,33.699526590928166,276445366.3333333,9534865.333333334,3.4490957326578404
machine1,matrix,blocked_64,3,35547762893,95955535866.66667,2.6993410571432066,11790137051,1381980813.6666667,11.721499145333954,16326642436.666666,17704470,0.10843913602369942
machine1,matrix,ikj,3,36597430877.666664,87289322719.66667,2.3851215953230858,12724043413.666666,121837951,0.9575411450509203,14547319405,9560444.666666666,0.06571963122897188
machine1,matrix,recursive_64,3,27074256229.333332,97015326284.66667,3.583305316419233,11468862590.333334,681414469,5.941430230181136,16939672390.333334,13047375.333333334,0.0770225954356641
machine1,search,binary,3,3410855431,1454840259.3333333,0.42653237252767434,432256765.6666667,206941873.33333334,47.87475634167768,336759521.6666667,52991500.666666664,15.735709685179748
machine1,search,bst,3,4131086801,1510823409,0.36572056743864095,264824742.33333334,107443573,40.57157652768011,335436569.3333333,3003731.3333333335,0.8954692505063264
machine1,search,eytzinger,3,1718015933.6666667,1192267442.3333333,0.6939792693242038,65222922.666666664,20414524.666666668,31.299616502926007,255728302.66666666,2773427.3333333335,1.0845210735037036
machine1,search,eytzinger_prefetch,3,1374419644,1855473486.3333333,1.3500050690001149,85123801.33333333,25486330.333333332,29.94031038808088,355895020,2832257.3333333335,0.7958125779150643
machine2,graph,csr,3,1643079239,1910613211,1.1628247534567018,173779204.33333334,42926876.666666664,24.701964099413633,320854587.3333333,5343795,1.6654881092438218
machine2,graph,csr_reordered,3,1199089234.6666667,2180018242.3333335,1.8180617249385562,86239995.66666667,20329073.666666668,23.57267473115635,365889282.3333333,6267068.666666667,1.7128319875074198
machine2,hash,chaining / miss,3,1041424241,821776069.3333334,0.7890886700930302,40974422.666666664,14493141.666666666,35.37119188858532,139418391,4786143,3.4329351857173562
machine2,hash,linear / miss,3,4014517520.6666665,9622022440.666666,2.3968066875116776,174680883.33333334,4134194.6666666665,2.366712709356767,2104302481,5932047,0.2819008699348675
machine2,hash,robin_hood / miss,3,1371277015.3333333,1315853877.3333333,0.959582828720769,155231490.33333334,8899126,5.732809741690062,290978573.3333333,10118819.333333334,3.4775135562100727
machine2,matrix,blocked_64,3,26285327513,54677652440.666664,2.0801586898099176,183883407,43614631.666666664,23.718633659352776,9614332536.666666,7283325,0.0757548688088665
machine2,matrix,ikj,3,38848458160,44322843291,1.1409164067323696,3725860998,3068949660.6666665,82.36887157932203,7393138796.666667,9545788.666666666,0.12911685995900093
machine2,matrix,recursive_64,3,27753553964,57630539431.333336,2.076510255446481,303795701.3333333,40896141.666666664,13.461724931319635,10376016433.333334,13014307.666666666,0.12542682203988925
machine2,search,binary,3,3582216757.6666665,1474335841.6666667,0.4115708069622785,497606394.6666667,1313601.6666666667,0.26398408074048435,342998187,52625767,15.342870310856775
machine2,search,bst,3,2473518183,1570083148.3333333,0.6347570675340911,256792324,53205357.333333336,20.719216409807228,347127976.3333333,2724434,0.7848500223974554
machine2,search,eytzinger,3,1255952221.6666667,1214911662.6666667,0.9673231526709364,26211101,1009717,3.852249472465884,262694460.33333334,2624374.3333333335,0.9990215743427788
machine2,search,eytzinger_prefetch,3,1162294613.6666667,1882372030,1.6195308899021048,26366564.333333332,1025293.6666666666,3.888613069585491,362760336.3333333,2640098.6666666665,0.7277804109875816
